RowId;ThresholdProfileName;ExpectedFound;ExpectedRank;ExpectedScore;BestNonMatchRank;BestNonMatchScore;ScoreDrop;CandidateCount
261;Passweb_1_N_Alder_18_70;True;1;913;2;551;362;15
262;Passweb_1_N_Alder_18_70;True;1;968;2;520;448;15
263;Passweb_1_N_Alder_7_13;True;1;830;2;557;273;15
264;Passweb_1_N_Alder_18_70;True;1;830;2;511;319;15
265;Passweb_1_N_Alder_71_T;True;1;898;2;498;400;15
266;Passweb_1_N_Alder_18_70;True;1;857;2;548;309;15
267;Passweb_1_N_Alder_18_70;True;1;832;2;537;295;15
268;Passweb_1_N_Alder_71_T;True;1;821;2;494;327;15
269;Passweb_1_N_Alder_18_70;True;1;939;2;543;396;15
270;Passweb_1_N_Alder_18_70;True;1;843;2;585;258;15
271;Passweb_1_N_Alder_18_70;True;1;791;2;509;282;15
272;Passweb_1_N_Alder_7_13;True;1;833;2;659;174;15
273;Passweb_1_N_Alder_18_70;True;1;877;2;518;359;15
274;Passweb_1_N_Alder_18_70;True;1;767;2;490;277;15
275;Passweb_1_N_Alder_18_70;True;1;855;2;502;353;15
276;Passweb_1_N_Alder_18_70;True;1;852;2;518;334;15
277;Passweb_1_N_Alder_18_70;True;1;766;2;496;270;15
278;Passweb_1_N_Alder_71_T;True;1;849;2;522;327;15
279;Passweb_1_N_Alder_2_6;True;1;815;2;630;185;15
280;Passweb_1_N_Alder_18_70;True;1;885;2;568;317;15
281;Passweb_1_N_Alder_18_70;True;1;794;2;524;270;15
282;Passweb_1_N_Alder_18_70;True;1;910;2;526;384;15
283;Passweb_1_N_Alder_18_70;True;1;826;2;539;287;15
284;Passweb_1_N_Alder_18_70;True;1;928;2;542;386;15
285;Passweb_1_N_Alder_14_15;True;14;582;1;664;-82;15
286;Passweb_1_N_Alder_18_70;True;1;911;2;517;394;15
287;Passweb_1_N_Alder_18_70;True;1;918;2;552;366;15
288;Passweb_1_N_Alder_18_70;True;1;883;2;618;265;15
289;Passweb_1_N_Alder_18_70;True;1;741;2;554;187;15
290;Passweb_1_N_Alder_71_T;True;1;942;2;545;397;15
291;Passweb_1_N_Alder_7_13;False;;;1;644;;15
292;Passweb_1_N_Alder_71_T;True;1;838;2;583;255;15
293;Passweb_1_N_Alder_18_70;True;1;795;2;555;240;15
294;Passweb_1_N_Alder_71_T;True;1;579;2;554;25;15
295;Passweb_1_N_Alder_71_T;True;1;894;2;510;384;15
296;Passweb_1_N_Alder_7_13;True;1;881;2;631;250;15
297;Passweb_1_N_Alder_18_70;True;1;810;2;513;297;15
298;Passweb_1_N_Alder_18_70;True;1;800;2;529;271;15
299;Passweb_1_N_Alder_7_13;True;1;926;2;645;281;15
300;Passweb_1_N_Alder_18_70;True;1;810;2;530;280;15
301;Passweb_1_N_Alder_7_13;True;1;840;2;660;180;15
302;Passweb_1_N_Alder_18_70;True;1;743;2;513;230;15
303;Passweb_1_N_Alder_18_70;True;1;852;2;543;309;15
304;Passweb_1_N_Alder_2_6;True;1;904;2;683;221;15
305;Passweb_1_N_Alder_71_T;True;1;908;2;529;379;15
306;Passweb_1_N_Alder_14_15;True;1;787;2;637;150;15
307;Passweb_1_N_Alder_18_70;True;1;938;2;537;401;15
308;Passweb_1_N_Alder_18_70;True;1;765;2;471;294;15
309;Passweb_1_N_Alder_7_13;True;1;857;2;642;215;15
310;Passweb_1_N_Alder_18_70;True;1;852;2;533;319;15
311;Passweb_1_N_Alder_18_70;True;1;793;2;535;258;15
312;Passweb_1_N_Alder_18_70;True;1;879;2;482;397;15
313;Passweb_1_N_Alder_7_13;True;1;897;2;664;233;15
314;Passweb_1_N_Alder_71_T;True;1;908;2;493;415;15
315;Passweb_1_N_Alder_18_70;True;1;895;2;607;288;15
316;Passweb_1_N_Alder_18_70;True;1;874;2;518;356;15
317;Passweb_1_N_Alder_18_70;True;1;748;2;551;197;15
318;Passweb_1_N_Alder_7_13;True;1;921;2;623;298;15
319;Passweb_1_N_Alder_7_13;False;;;1;712;;15
320;Passweb_1_N_Alder_71_T;True;1;859;2;536;323;15
321;Passweb_1_N_Alder_7_13;True;1;839;2;635;204;15
322;Passweb_1_N_Alder_71_T;True;1;791;2;544;247;15
323;Passweb_1_N_Alder_18_70;True;1;854;2;580;274;15
324;Passweb_1_N_Alder_2_6;True;1;849;2;674;175;15
325;Passweb_1_N_Alder_16_17;True;1;817;2;604;213;15
326;Passweb_1_N_Alder_2_6;True;1;861;2;638;223;15
327;Passweb_1_N_Alder_7_13;True;1;893;2;613;280;15
328;Passweb_1_N_Alder_7_13;True;1;921;2;655;266;15
329;Passweb_1_N_Alder_18_70;True;1;921;2;573;348;15
330;Passweb_1_N_Alder_14_15;True;1;725;2;555;170;15
331;Passweb_1_N_Alder_7_13;True;1;903;2;709;194;15
332;Passweb_1_N_Alder_7_13;True;1;905;2;636;269;15
333;Passweb_1_N_Alder_18_70;True;1;857;2;545;312;15
334;Passweb_1_N_Alder_18_70;True;1;795;2;545;250;15
335;Passweb_1_N_Alder_18_70;True;1;743;2;592;151;15
336;Passweb_1_N_Alder_18_70;True;1;944;2;527;417;15
337;Passweb_1_N_Alder_18_70;True;1;823;2;536;287;15
338;Passweb_1_N_Alder_18_70;True;1;872;2;553;319;15
339;Passweb_1_N_Alder_2_6;True;1;872;2;595;277;15
340;Passweb_1_N_Alder_71_T;True;1;887;2;560;327;15
341;Passweb_1_N_Alder_71_T;True;1;739;2;561;178;15
342;Passweb_1_N_Alder_18_70;True;1;843;2;564;279;15
343;Passweb_1_N_Alder_18_70;True;1;936;2;533;403;15
344;Passweb_1_N_Alder_2_6;True;1;737;2;636;101;15
345;Passweb_1_N_Alder_18_70;True;1;947;2;551;396;15
346;Passweb_1_N_Alder_18_70;True;1;805;2;503;302;15
347;Passweb_1_N_Alder_18_70;True;1;751;2;524;227;15
348;Passweb_1_N_Alder_18_70;True;1;895;2;555;340;15
349;Passweb_1_N_Alder_18_70;True;1;818;2;673;145;15
350;Passweb_1_N_Alder_7_13;True;1;887;2;634;253;15
351;Passweb_1_N_Alder_18_70;True;1;815;2;466;349;15
352;Passweb_1_N_Alder_7_13;True;1;857;2;659;198;15
353;Passweb_1_N_Alder_18_70;True;1;929;2;543;386;15
354;Passweb_1_N_Alder_18_70;True;1;842;2;523;319;15
355;Passweb_1_N_Alder_16_17;True;1;840;2;579;261;15
356;Passweb_1_N_Alder_71_T;True;1;766;2;495;271;15
357;Passweb_1_N_Alder_18_70;True;1;743;2;626;117;15
358;Passweb_1_N_Alder_16_17;True;1;709;2;596;113;15
359;Passweb_1_N_Alder_16_17;True;1;855;2;591;264;15
360;Passweb_1_N_Alder_18_70;True;1;896;2;542;354;15
361;Passweb_1_N_Alder_18_70;True;1;817;2;612;205;15
362;Passweb_1_N_Alder_18_70;True;1;793;2;594;199;15
363;Passweb_1_N_Alder_7_13;True;1;926;2;617;309;15
364;Passweb_1_N_Alder_2_6;True;1;899;2;655;244;15
365;Passweb_1_N_Alder_18_70;True;1;833;2;486;347;15
366;Passweb_1_N_Alder_18_70;True;1;780;2;514;266;15
367;Passweb_1_N_Alder_7_13;True;1;911;2;621;290;15
368;Passweb_1_N_Alder_7_13;True;1;587;2;538;49;15
369;Passweb_1_N_Alder_18_70;True;1;695;2;541;154;15
370;Passweb_1_N_Alder_2_6;True;1;920;2;690;230;15
371;Passweb_1_N_Alder_14_15;False;;;1;656;;15
372;Passweb_1_N_Alder_18_70;True;1;808;2;513;295;15
373;Passweb_1_N_Alder_71_T;True;1;923;2;497;426;15
374;Passweb_1_N_Alder_2_6;True;1;889;2;579;310;15
375;Passweb_1_N_Alder_18_70;True;1;823;2;500;323;15
376;Passweb_1_N_Alder_18_70;True;1;591;2;578;13;15
377;Passweb_1_N_Alder_7_13;True;1;706;2;637;69;15
378;Passweb_1_N_Alder_2_6;True;14;643;1;678;-35;15
379;Passweb_1_N_Alder_18_70;True;1;886;2;529;357;15
380;Passweb_1_N_Alder_18_70;True;1;680;2;506;174;15
381;Passweb_1_N_Alder_7_13;True;1;913;2;750;163;15
382;Passweb_1_N_Alder_18_70;True;1;924;2;515;409;15
383;Passweb_1_N_Alder_18_70;True;1;914;2;544;370;15
384;Passweb_1_N_Alder_18_70;True;1;968;2;542;426;15
385;Passweb_1_N_Alder_18_70;True;1;783;2;628;155;15
386;Passweb_1_N_Alder_2_6;False;;;1;773;;15
387;Passweb_1_N_Alder_16_17;True;1;890;2;572;318;15
388;Passweb_1_N_Alder_71_T;True;1;916;2;483;433;15
389;Passweb_1_N_Alder_2_6;True;1;745;2;744;1;15
390;Passweb_1_N_Alder_18_70;True;1;754;2;504;250;15
391;Passweb_1_N_Alder_18_70;True;1;851;2;556;295;15
392;Passweb_1_N_Alder_71_T;True;1;909;2;622;287;15
393;Passweb_1_N_Alder_18_70;True;1;863;2;566;297;15
394;Passweb_1_N_Alder_16_17;True;1;918;2;631;287;15
395;Passweb_1_N_Alder_18_70;True;1;862;2;507;355;15
396;Passweb_1_N_Alder_71_T;True;1;797;2;556;241;15
397;Passweb_1_N_Alder_18_70;True;1;864;2;514;350;15
398;Passweb_1_N_Alder_18_70;True;1;803;2;546;257;15
399;Passweb_1_N_Alder_18_70;True;1;943;2;517;426;15
400;Passweb_1_N_Alder_18_70;True;1;863;2;552;311;15
401;Passweb_1_N_Alder_18_70;True;1;956;2;568;388;15
402;Passweb_1_N_Alder_18_70;True;1;889;2;558;331;15
403;Passweb_1_N_Alder_71_T;True;1;970;2;538;432;15
404;Passweb_1_N_Alder_18_70;True;1;827;2;546;281;15
405;Passweb_1_N_Alder_18_70;True;1;698;2;552;146;15
406;Passweb_1_N_Alder_18_70;True;1;907;2;559;348;15
407;Passweb_1_N_Alder_7_13;True;1;905;2;623;282;15
408;Passweb_1_N_Alder_18_70;True;1;869;2;474;395;15
409;Passweb_1_N_Alder_18_70;True;1;857;2;557;300;15
410;Passweb_1_N_Alder_7_13;True;1;771;2;653;118;15
411;Passweb_1_N_Alder_14_15;True;1;694;2;619;75;15
412;Passweb_1_N_Alder_18_70;True;1;761;2;533;228;15
413;Passweb_1_N_Alder_18_70;True;1;831;2;520;311;15
414;Passweb_1_N_Alder_18_70;True;1;788;2;542;246;15
415;Passweb_1_N_Alder_18_70;True;1;787;2;566;221;15
416;Passweb_1_N_Alder_18_70;True;1;922;2;471;451;15
417;Passweb_1_N_Alder_18_70;True;1;797;2;541;256;15
418;Passweb_1_N_Alder_18_70;True;1;852;2;509;343;15
419;Passweb_1_N_Alder_18_70;True;1;804;2;585;219;15
420;Passweb_1_N_Alder_18_70;True;1;848;2;507;341;15
421;Passweb_1_N_Alder_18_70;True;1;831;2;518;313;15
422;Passweb_1_N_Alder_18_70;True;1;920;2;537;383;15
423;Passweb_1_N_Alder_18_70;True;1;902;2;580;322;15
